State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
New South Wales,322.7,331.2,341.4,331.6,345.5,359.1,370.1,383.2,391.3,391.6,391.9,392.2,390,393,394.4,394.4,393.2,393.2,360.1,347.9
Victoria,359.9,366.6,383.3,384.6,395.7,411.9,422.1,424.2,430.5,432.9,433.6,433.5,433.1,423,423,421.7,420.6,418.5,386.6,382.6
Queensland,208,212.9,214.6,225.6,232.6,240.3,250.6,256.4,230.6,232.5,233.3,233.4,233.5,230.4,230.4,230.4,230.5,230.5,205.4,205.4
South Australia,149.4,157.9,163.8,167,172.5,178.3,181.8,182.5,188.3,188.5,188.5,188.5,188.5,178.8,178.8,175.9,172.2,166.8,172.3,168.1
Western Australia,351.6,360.8,369.8,377.6,388.7,403.7,416.5,425.1,413.3,412.6,405.1,402.9,391.5,383.4,383.4,367.9,361.7,359.9,309.8,307.1
Tasmania,213.4,222.7,225.7,227.2,247.7,274.2,294.1,309.2,309.1,310.7,310.7,310.7,310.7,309.8,309.8,309.9,309.8,309.7,282.5,278.7
Northern Territory,7,8.3,12.3,16.3,25.7,25.9,29.5,31.8,38.1,40.2,41.8,43.5,44.7,47.6,47.6,47.5,47.4,47.4,49.3,45.8
Aust. Capital Territory,15.9,5.3,5.4,9.5,9.5,9.5,7.9,7.9,7.7,7.7,7.7,7.7,7.7,7.4,7.4,7.4,7.4,7.4,8.7,8.7
Australia a,"1,627.80","1,665.70","1,716.20","1,739.40","1,817.80","1,902.90","1,972.50","2,020.20","2,008.90","2,016.60","2,012.60","2,012.50","1,999.70","1,973.40","1,974.80","1,955.10","1,942.70","1,933.40","1,774.70","1,744.20"
